x,y,curasd
8.12952000e-04,2.54000000e-07,0.00000000e+00
9.42073000e-04,2.97000000e-07,0.00000000e+00
1.06838700e-03,3.41000000e-07,0.00000000e+00
1.23588300e-03,3.99000000e-07,0.00000000e+00
1.33836000e-03,4.36000000e-07,0.00000000e+00
1.46780300e-03,4.85000000e-07,0.00000000e+00
1.59593500e-03,5.32000000e-07,0.00000000e+00
2.31687000e-03,7.91000000e-07,-2.89093162e-02
3.09901400e-03,1.04600000e-06,-4.14085857e-02
3.82774000e-03,1.25800000e-06,-4.67358580e-02
4.54232000e-03,1.44700000e-06,-4.86559690e-02
5.15273300e-03,1.57600000e-06,-1.37355437e-02
5.81238000e-03,1.72100000e-06,2.69037931e-03
6.42746200e-03,1.86100000e-06,-7.70820273e-03
7.02263200e-03,1.98600000e-06,-1.56878183e-03
7.99123700e-03,2.19800000e-06,-1.82477469e-02
8.80287900e-03,2.37000000e-06,-3.22269141e-02
9.77676500e-03,2.52500000e-06,-1.50397879e-02
1.08383580e-02,2.69800000e-06,-3.08025698e-02
1.14525290e-02,2.77200000e-06,-5.59682754e-02
1.21173640e-02,2.82800000e-06,-1.71859391e-03
1.27500620e-02,2.88900000e-06,-2.00370765e-02
1.34284580e-02,2.95800000e-06,-2.91090269e-02
1.47479520e-02,3.04100000e-06,-2.97349318e-02
1.60433140e-02,3.07100000e-06,-3.81906006e-02
1.76786690e-02,3.03000000e-06,-5.01170295e-02
1.91849080e-02,2.85400000e-06,-3.35702072e-02
2.12661430e-02,2.47900000e-06,-4.50059449e-02
2.22155080e-02,2.22200000e-06,-8.61184896e-02
2.35140210e-02,1.79400000e-06,-3.66803520e-02
2.49535460e-02,1.24400000e-06,-3.27437046e-02
2.64030500e-02,6.05000000e-07,-2.22491126e-02
2.78245060e-02,-6.20000000e-08,-4.38362107e-03
2.93483850e-02,-7.93000000e-07,1.23602293e-03
3.07796800e-02,-1.44600000e-06,-1.89246379e-03
3.23402560e-02,-2.20200000e-06,1.12913969e-02
3.37328580e-02,-2.84600000e-06,2.17780478e-02
3.51875800e-02,-3.44400000e-06,9.63866126e-03
3.67377560e-02,-4.09200000e-06,5.78124479e-03
3.88549360e-02,-4.93900000e-06,5.03702246e-03
4.02670120e-02,-5.47400000e-06,-8.98059180e-03
4.17197550e-02,-6.05700000e-06,-1.29823017e-02
4.36099640e-02,-6.85700000e-06,-1.49777797e-02
4.51814190e-02,-7.56700000e-06,-2.47153792e-02
4.69036720e-02,-8.39800000e-06,-2.78195069e-02
4.88800650e-02,-9.45600000e-06,-2.21714086e-02
5.08776440e-02,-1.06670000e-05,-1.19364464e-02
5.27833800e-02,-1.18120000e-05,-8.10048465e-03
5.49280550e-02,-1.31640000e-05,-8.89423852e-03
5.70242640e-02,-1.45090000e-05,-1.11294239e-02
5.90744420e-02,-1.58820000e-05,-1.57049431e-02
6.10144380e-02,-1.72330000e-05,-1.84539427e-02
6.31489850e-02,-1.88010000e-05,-1.77971092e-02
6.55331290e-02,-2.06420000e-05,-2.21919220e-02
6.76153620e-02,-2.23790000e-05,-2.12329963e-02
6.99361080e-02,-2.44010000e-05,-2.29215724e-02
7.19872980e-02,-2.62880000e-05,-2.57401124e-02
7.43143480e-02,-2.85760000e-05,-1.74026782e-02
7.68684600e-02,-3.11760000e-05,-1.13130062e-02
7.98822890e-02,-3.43570000e-05,-1.22066122e-02
8.19964510e-02,-3.66710000e-05,-1.21775809e-02
8.43985120e-02,-3.93320000e-05,-8.91802636e-03
8.69779460e-02,-4.22530000e-05,-6.28202969e-03
8.97051490e-02,-4.54140000e-05,-6.00292630e-03
9.22439640e-02,-4.83380000e-05,-1.50583032e-02
9.48936860e-02,-5.15260000e-05,-1.80827495e-02
9.77439550e-02,-5.51040000e-05,-2.40212739e-02
1.00274875e-01,-5.84220000e-05,-1.88073300e-02
1.03797523e-01,-6.32750000e-05,-1.42168339e-02
1.06327869e-01,-6.69140000e-05,-6.65056449e-03
1.10363665e-01,-7.26860000e-05,-8.31208181e-03
1.13461102e-01,-7.72410000e-05,-1.32074765e-02
1.17139138e-01,-8.28230000e-05,-8.36528225e-03
1.20523273e-01,-8.80680000e-05,-5.47040807e-03
1.24162988e-01,-9.37580000e-05,-4.41503346e-03
